rob phys_regs iq   nss      NCRB        NIRL      IIR      ICRR     ROB     CMR
4    64     4    0.017680  20572621  26642180  0.571123  197486  12037005 0.014235
4    64     16   0.017680  20572604  26642180  0.571123  197486  12037017 0.014235
4    64     64   0.017680  20572604  26642180  0.571123  197486  12037017 0.014235
4    64     256  0.017680  20572604  26642180  0.571123  197486  12037017 0.014235
4    256    4    0.017680  20572621  26642180  0.571123  197486  12037005 0.014235
4    256    16   0.017680  20572604  26642180  0.571123  197486  12037017 0.014235
4    256    64   0.017680  20572604  26642180  0.571123  197486  12037017 0.014235
4    256    256  0.017680  20572604  26642180  0.571123  197486  12037017 0.014235
4   1024    4    0.017680  20572621  26642180  0.571123  197486  12037005 0.014235
4   1024    16   0.017680  20572604  26642180  0.571123  197486  12037017 0.014235
4   1024    64   0.017680  20572604  26642180  0.571123  197486  12037017 0.014235
4   1024    256  0.017680  20572604  26642180  0.571123  197486  12037017 0.014235
16   64     4    0.010481  6182079   26643964  0.963466  1348251 23       0.018976
16   64     16   0.006323  4475745   26647514  1.597168  1268734 4581375  0.031023
16   64     64   0.006323  4475742   26647514  1.597168  1268734 4581375  0.031023
16   64     256  0.006323  4475742   26647514  1.597168  1268734 4581375  0.031023
16   256    4    0.010481  6182079   26643964  0.963466  1348251 23       0.018976
16   256    16   0.006323  4475745   26647515  1.597168  1268735 4581376  0.031023
16   256    64   0.006323  4475742   26647515  1.597168  1268735 4581376  0.031023
16   256    256  0.006323  4475742   26647515  1.597168  1268735 4581376  0.031023
16  1024    4    0.010481  6182079   26643964  0.963466  1348251 23       0.018976
16  1024    16   0.006323  4475745   26647515  1.597168  1268735 4581376  0.031023
16  1024    64   0.006323  4475742   26647515  1.597168  1268735 4581376  0.031023
16  1024    256  0.006323  4475742   26647515  1.597168  1268735 4581376  0.031023
64   64     4    0.010481  6181852   26643995  0.963467  1348438 0        0.018976
64   64     16   0.004983  822738    26651364  2.026954  1557498 1        0.036404
64   64     64   0.004696  1039037   26653136  2.150888  1537617 76       0.036425
64   64    256   0.004696  1039037   26653136  2.150888  1537617 76       0.036425
64   256    4    0.010479  6172943   26644027  0.963641  1348678 0        0.018978
64   256    16   0.004909  738596    26651743  2.057407  1557434 3        0.036827
64   256    64   0.003847  929162    26658242  2.625561  2370289 1033534  0.049939
64   256    256  0.003847  929162    26658242  2.625561  2370289 1033534  0.049939
64  1024    4    0.010479  6172943   26644027  0.963641  1348678 0        0.018978
64  1024    16   0.004909  738596    26651743  2.057407  1557434 3        0.036827
64  1024    64   0.003847  929162    26658242  2.625561  2370289 1033534  0.049939
64  1024    256  0.003847  929162    26658242  2.625561  2370289 1033534  0.049939
256  64     4    0.010481  6181852   26643995  0.963467  1348438 0        0.018976
256  64     16   0.004983  821802    26651377  2.026953  1558164 0        0.036401
256  64     64   0.004696  1038917   26653211  2.150893  1537647 0        0.036426
256  64    256   0.004696  1038917   26653211  2.150893  1537647 0        0.036426
256  256    4    0.010479  6172943   26644027  0.963641  1348678 0        0.018978
256  256    16   0.004909  738486    26651809  2.057396  1557477 0        0.036827
256  256    64   0.003756  109685    26661032  2.689577  2531888 0        0.052124
256  256   256   0.003729  76759     26666495  2.708983  2583624 323691   0.052633
256 1024    4    0.010479  6172943   26644027  0.963641  1348678 0        0.018978
256 1024    16   0.004909  738486    26651809  2.057396  1557477 0        0.036827
256 1024    64   0.003756  109685    26661032  2.689577  2531888 0        0.052124
256 1024   256   0.003729  76759     26666495  2.708983  2583624 323691   0.052633
